"Id","Title","Price","CPU_Brand","CPU_Type","CPU_Speed","CPU_Cores","GPU","RAM in GB","Hard Drive / Type","Hard Drive / Capacity (GB)"
"769052"," Toshiba Tecra A40 C 1Kf Lapto Ps463E 07U03Hen","541.62","Intel","Core i5","2.3GHz","Dual-Core","Intel HD Graphics 520","4","HDD","500"
"769054"," Toshiba Tecra A40 C 1E5 Laptop Ps463E 05V03Hen","497.49","Intel","Core i5","2.3GHz","Dual-Core","Intel HD Graphics 520","4","SSD","128"
"769058"," Toshiba Tecra Z40 C 12X Laptop Pt465E 03E02Sen","539.15","Intel","Core i5","2.3GHz","Dual-Core","Intel HD Graphics 520","4","SSD","128"
"769060"," Toshiba Tecra Z40 C 12Z Laptop Pt465E 03F02Sen","824.94","Intel","Core i5","2.3GHz","Dual-Core","Intel HD Graphics 520","8","SSD","256"
"771779"," Hp Elitebook X360 1030 G2 2 In 1 Laptop Z2W63Ea Abu","1358.31","Intel","Core i5","2.5GHz","Dual-Core","Intel HD Graphics 620","8","SSD","256"
"771780"," Hp Elitebook X360 1030 G2 2 In 1 Laptop Z2W66Ea Abu","1441.64","Intel","Core i5","2.5GHz","Dual-Core","Intel HD Graphics 620","8","SSD","256"
"774924"," Hp Probook X360 11 G1 Ee Laptop For Education Z3A47Ea Abu","501.00","Intel","Pentium","1.1GHz","Quad-Core","Intel HD Graphics 505","4","SSD","256"
"789908"," Edu Only Toshiba Satellite Pro R40 C 12W Laptop Ps461E 0S70D3En","319.15","Intel","Pentium","1.5GHz","Dual-Core","Intel HD Graphics 515","4","SSD","128"
"792829"," Galaxy Book 12 256Gb Wifi Home Sm W720Nzkabtu","1079.08","Intel","Core i5","2.5GHz","Dual-Core","Intel HD Graphics 620","8","SSD","256"
"792831"," Galaxy Book 12 128Gb Wifi Home Sm W720Nzkbbtu","916.59","Intel","Core i5","2.5GHz","Dual-Core","Intel HD Graphics 620","4","SSD","128"
"792836"," Hp Elite X2 1012 G2 2 In 1 Laptop 1Lv19Ea Abu","1596.64","Intel","Core i5","2.5GHz","Dual-Core","Intel HD Graphics 620","8","SSD","256"
"795139"," Hp Elitebook X360 1030 G2 2 In 1 Laptop 1En90Ea Abu","729.15","Intel","Core i5","2.5GHz","Dual-Core","Intel HD Graphics 620","8","SSD","256"
"800732"," Hp Elite X2 1012 G2 2 In 1 Laptop 1Lv33Ea Abu","1974.84","Intel","Core i7","2.8GHz","Dual-Core","Intel HD Graphics 620","8","SSD","256"
"802748"," Panasonic Toughbook Cf 54 Rugged Laptop Cf 54G0492Te","1589.15","Intel","Core i5","2.6GHz","Dual-Core","Intel HD Graphics 620","4","HDD","500"
"807107"," Hp Probook X360 11 G1 Ee Laptop Z2Z52Ea Abu","546.65","Intel","Pentium","1.1GHz","Quad-Core","Intel HD Graphics 505","4","SSD","128"
"808805"," Msi Gs63 7Rd Stealth Gaming Laptop 9S7 16K412 091","958.32","Intel","Core i7","2.8GHz","Quad-Core","NVIDIA GeForce GTX 1050","8","SSD","128"
"813492"," Hp Elitebook X360 1030 G2 2 In 1 Laptop Z2W68Ea Abu","1390.81","Intel","Core i5","2.5GHz","Dual-Core","Intel HD Graphics 620","8","SSD","256"
"818422"," Lenovo Miix 520 2 In1 Laptop 20M3000Duk","824.99","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"818423"," Lenovo Miix 520 2 In1 Laptop 20M3000Luk","1374.98","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","16","SSD","1000"
"818424"," Lenovo Miix 520 2 In1 Laptop 20M3003Duk","887.48","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"821540"," Acsf514 52T Nx Gtmek 002 8 256 Nx Gtmek 002","733.32","Intel","Core i5","1.6GHz","Quad Core","Intel UHD Graphics 620","8","SSD","256"
"822357"," Acer Extensa 2540 Laptop Nx Efhek 010","369.99","Intel","Core i5","2.5GHz","Dual-Core","Intel HD Graphics 620","4","HDD","500"
"823147"," Fujitsu Lifebook U728 Laptop Vfy U7280M35Sbgb","789.15","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"823149"," Fujitsu Lifebook U758 Laptop Vfy U7580M37Spgb","1146.65","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","16","SSD","512"
"823150"," Fujitsu Lifebook U758 Laptop Vfy U7580M37Sbgb","1005.81","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","512"
"823157"," Fujitsu Lifebook U748 Laptop Vfy U7480M35Sbgb","789.15","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"823161"," Fujitsu Lifebook U728 Laptop Vfy U7280M37Sbgb","1132.48","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"823163"," Fujitsu Lifebook U758 Laptop Vfy U7580M35Sbgb","784.99","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"823652"," Lenovo Thinkpad T480S Laptop 20L7001Vuk","935.81","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"829427"," Hp Elitebook 840 G5 Laptop 3Jx94Ea Abu","1324.15","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","512"
"829429"," Hp Elitebook 840 G5 Laptop 3Jx31Ea Abu","1409.75","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","16","SSD","512"
"829432"," Hp Elitebook 850 G5 Laptop 3Jx57Ea Abu","1028.86","Intel","Core i5","2.5GHz","Dual-Core","Intel HD Graphics 620","8","SSD","256"
"829434"," Hp Elitebook X360 1030 G2 Convertible Laptop 1Dt50Aw Abu","2149.98","Intel","Core i7","2.8GHz","Dual-Core","Intel HD Graphics 620","16","SSD","256"
"829443"," Hp Elitebook 850 G5 Laptop 3Jx13Ea Abu","1024.98","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"829446"," Hp Elitebook 830 G5 Laptop 3Jx26Ea Abu","1240.57","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","16","SSD","256"
"829463"," Hp Elitebook 850 G5 Laptop 3Jx12Ea Abu","1093.31","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"829490"," Hp Elitebook 840 G5 Laptop 3Jx63Ea Abu","1291.64","Intel","Core i5","1.7GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"829499"," Hp Elitebook 830 G5 Laptop 3Jw94Ea Abu","1363.31","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","16","SSD","512"
"829501"," Hp Elitebook 830 G5 Laptop 3Jx78Ea Abu","1357.48","Intel","Core i5","1.7GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"830867"," Fujitsu Lifebook U938 Laptop Vfy U9380M45Sbgb","960.81","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"830868"," Fujitsu Lifebook U938 Laptop Vfy U9380M47Ppgb","1278.32","Intel","Core i7","1.9GHz","Quad-Core","Intel UHD Graphics 620","20","SSD","512"
"830869"," Fujitsu Lifebook U938 Laptop Vfy U9380M47Spgb","1035.81","Intel","Core i7","1.9GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"834567"," Msi Gt83 Titan 8Rg Gaming Laptop 9S7 181612 029","3917.47","Intel","Core i7","2.6 GHz","6-Core","NVIDIA GeForce GTX 1080 SLI","32","SSD","1000"
"834572"," Msi Gt63 Titan 8Rf Gaming Laptop 9S7 16L411 027","1782.95","Intel","Core i7","2.2GHz","6 Cores","NVIDIA GeForce GTX 1070","16","SSD","256"
